id,lat,lon
0,38.674854,-77.225496
1,38.674646,-77.223958
2,38.674910,-77.222274
3,38.674998,-77.221184
4,38.674730,-77.219791
5,38.674614,-77.218095
6,38.674505,-77.216844
7,38.674860,-77.215221
8,38.674615,-77.213771
9,38.674951,-77.212677
10,38.674949,-77.210857
11,38.674684,-77.209741
12,38.675035,-77.208213
13,38.674543,-77.206924
14,38.674973,-77.205209
15,38.674950,-77.203712
16,38.674795,-77.202148
17,38.674706,-77.200962
18,38.674963,-77.199499
19,38.674981,-77.198097
20,38.674891,-77.196975
21,38.674620,-77.195410
22,38.674535,-77.194017
23,38.674547,-77.192566
24,38.674852,-77.191091
25,38.674701,-77.189754
26,38.674642,-77.187914
27,38.674859,-77.186675
28,38.674587,-77.185181
29,38.674583,-77.183955
30,38.675054,-77.182381
31,38.674807,-77.180930
32,38.674970,-77.179453
33,38.674620,-77.178451
34,38.674670,-77.176891
35,38.674610,-77.175081
36,38.674989,-77.174014
37,38.674863,-77.172542
38,38.675011,-77.171081
39,38.674641,-77.169776
40,38.674810,-77.168341
41,38.674823,-77.166554
42,38.674717,-77.165515
43,38.675058,-77.163924
44,38.674542,-77.162763
45,38.674552,-77.161006
46,38.674941,-77.159698
47,38.674526,-77.158295
48,38.675058,-77.156786
49,38.675043,-77.155171
50,38.674496,-77.153826
51,38.674878,-77.152505
52,38.674642,-77.151020
53,38.674553,-77.149712
54,38.674748,-77.147991
55,38.674989,-77.146959
56,38.674775,-77.145582
57,38.675010,-77.143762
58,38.674660,-77.142468
59,38.674837,-77.141320
60,38.674924,-77.139674
61,38.674934,-77.138254
62,38.674490,-77.136946
63,38.674501,-77.135176
64,38.674991,-77.133806
65,38.674665,-77.132821
66,38.674990,-77.130889
67,38.674539,-77.129726
68,38.674529,-77.128144
69,38.674926,-77.127079
70,38.674761,-77.125414
71,38.674641,-77.123804
72,38.674731,-77.122755
73,38.674797,-77.121034
74,38.674604,-77.119847
75,38.675057,-77.118229
76,38.674739,-77.116879
77,38.674559,-77.115621
78,38.674682,-77.113988
79,38.674621,-77.112772
80,38.674530,-77.111112
81,38.674620,-77.109530
82,38.674980,-77.108581
83,38.674625,-77.106814
84,38.674612,-77.105695
85,38.675023,-77.104019
86,38.674759,-77.102472
87,38.674950,-77.101385
88,38.674545,-77.099823
89,38.674731,-77.098377
90,38.674905,-77.096834
91,38.675051,-77.095736
92,38.674719,-77.094173
93,38.674981,-77.092799
94,38.674598,-77.091260
95,38.674730,-77.089931
96,38.674632,-77.088138
97,38.674742,-77.086748
98,38.674803,-77.085785
99,38.675059,-77.083911
100,38.675042,-77.082435
101,38.674974,-77.081442
102,38.674767,-77.079990
103,38.674718,-77.078653
104,38.674706,-77.076699
105,38.674641,-77.075388
106,38.674749,-77.074169
107,38.675036,-77.072417
108,38.674807,-77.071149
109,38.674578,-77.069964
110,38.675042,-77.068378
111,38.674799,-77.066856
112,38.674522,-77.065524
113,38.674776,-77.063945
114,38.674579,-77.062458
115,38.674535,-77.061475
116,38.674829,-77.059770
117,38.674624,-77.058661
118,38.674997,-77.057164
119,38.674829,-77.055525
120,38.674729,-77.054120
121,38.674788,-77.052495
122,38.674606,-77.051194
123,38.674626,-77.049951
124,38.674873,-77.048580
125,38.674670,-77.046897
126,38.674531,-77.045639
127,38.675059,-77.043907
128,38.674531,-77.042928
129,38.674641,-77.041092
130,38.674992,-77.039697
131,38.674700,-77.038683
132,38.674965,-77.036946
133,38.674838,-77.035359
134,38.674863,-77.034492
135,38.674956,-77.032900
136,38.674868,-77.031110
137,38.674566,-77.030154
138,38.674551,-77.028479
139,38.674645,-77.027024
140,38.674899,-77.025828
141,38.674851,-77.024368
142,38.674768,-77.022576
143,38.674972,-77.021615
144,38.674731,-77.020084
145,38.674492,-77.018377
146,38.674853,-77.017241
147,38.674912,-77.015651
148,38.674734,-77.014534
149,38.674533,-77.012611
150,38.675005,-77.011378
151,38.674966,-77.009931
152,38.674574,-77.008765
153,38.674665,-77.006900
154,38.674944,-77.005496
155,38.675002,-77.004442
156,38.674632,-77.003077
157,38.674934,-77.001206
158,38.674721,-76.999931
159,38.674578,-76.998329
160,38.674983,-76.996878
161,38.674952,-76.995506
162,38.674504,-76.994163
163,38.674679,-76.992627
164,38.674947,-76.991240
165,38.674952,-76.990155
166,38.674939,-76.988820
167,38.674987,-76.986966
168,38.674617,-76.985565
169,38.674752,-76.984431
170,38.674943,-76.983050
171,38.674503,-76.981644
172,38.674677,-76.979836
173,38.675041,-76.978744
174,38.674855,-76.977250
175,38.675049,-76.975746
176,38.675025,-76.974561
177,38.675043,-76.973099
178,38.675039,-76.971624
179,38.674551,-76.970102
180,38.674905,-76.968746
181,38.674835,-76.967208
182,38.674709,-76.965745
183,38.674635,-76.964244
184,38.674491,-76.962695
185,38.674797,-76.961387
186,38.674913,-76.959989
187,38.674697,-76.958906
188,38.674868,-76.957333
189,38.674669,-76.955612
190,38.674900,-76.954499
191,38.674666,-76.953012
192,38.674719,-76.951650
193,38.674562,-76.950154
194,38.675026,-76.948582
195,38.675004,-76.947192
196,38.674661,-76.945805
197,38.674490,-76.944528
198,38.674735,-76.942935
199,38.674863,-76.941575
200,38.674742,-76.940293
201,38.674759,-76.938476
202,38.674944,-76.937467
203,38.674538,-76.935845
204,38.674851,-76.934522
205,38.674956,-76.932859
206,38.674873,-76.931734
207,38.674603,-76.930423
208,38.674629,-76.928740
209,38.674974,-76.927544
210,38.674726,-76.925801
211,38.674601,-76.924338
212,38.674772,-76.923170
213,38.674864,-76.921881
214,38.674918,-76.920019
215,38.674550,-76.918791
216,38.674590,-76.917061
217,38.674785,-76.916153
218,38.674632,-76.914273
219,38.674750,-76.912874
220,38.674870,-76.911342
221,38.674829,-76.909938
222,38.674998,-76.908705
223,38.674900,-76.907341
224,38.674963,-76.905891
225,38.675001,-76.904354
226,38.674760,-76.903205
227,38.674631,-76.901564
228,38.674926,-76.900205
229,38.674847,-76.898920
230,38.674534,-76.897488
231,38.674645,-76.896043
232,38.674798,-76.894721
233,38.674622,-76.892979
234,38.674892,-76.891912
235,38.674722,-76.890214
236,38.674727,-76.888980
237,38.674729,-76.887157
238,38.674823,-76.885850
239,38.674978,-76.884385
240,38.674707,-76.883393
241,38.674690,-76.881541
242,38.674976,-76.880001
243,38.674729,-76.878693
244,38.674801,-76.877350
245,38.674615,-76.876144
246,38.674738,-76.874827
247,38.674681,-76.873030
248,38.674720,-76.871898
249,38.674756,-76.870494
250,38.674844,-76.869126
251,38.674714,-76.867394
252,38.674505,-76.865924
253,38.674567,-76.864602
254,38.674518,-76.863223
255,38.674610,-76.861828
256,38.674924,-76.860372
257,38.674918,-76.858689
258,38.674634,-76.857691
259,38.674501,-76.856004
260,38.675060,-76.854687
261,38.674860,-76.853016
262,38.674861,-76.851606
263,38.675031,-76.850496
264,38.674501,-76.849098
265,38.674562,-76.847377
266,38.674811,-76.846209
267,38.674889,-76.844471
268,38.674585,-76.843136
269,38.674916,-76.841992
270,38.674957,-76.840082
271,38.674551,-76.839192
272,38.674668,-76.837395
273,38.675036,-76.836129
274,38.674897,-76.834887
275,38.674883,-76.833147
276,38.674548,-76.831638
277,38.674975,-76.830311
278,38.674559,-76.828667
279,38.674936,-76.827605
280,38.674734,-76.826166
281,38.674778,-76.824757
282,38.674974,-76.823057
283,38.674550,-76.821553
284,38.674852,-76.820203
285,38.674893,-76.819001
286,38.674908,-76.817274
287,38.674644,-76.815938
288,38.674797,-76.814698
289,38.674738,-76.813131
290,38.674643,-76.811637
291,38.674963,-76.810647
292,38.674992,-76.809132
293,38.674755,-76.807498
294,38.674706,-76.806404
295,38.674975,-76.804891
296,38.674611,-76.803114
297,38.674684,-76.801642
298,38.674889,-76.800561
299,38.674495,-76.798752
300,38.674538,-76.797457
301,38.674768,-76.796010
302,38.674883,-76.794648
303,38.674770,-76.793139
304,38.674543,-76.792039
305,38.674884,-76.790566
306,38.674821,-76.789045
307,38.674792,-76.787647
308,38.674915,-76.786275
309,38.674890,-76.784884
310,38.674633,-76.783544
311,38.674599,-76.782119
312,38.674795,-76.780327
313,38.674595,-76.779213
314,38.674766,-76.777498
315,38.675047,-76.776186
316,38.676077,-77.225453
317,38.676026,-77.223955
318,38.676017,-77.222651
319,38.676220,-77.221077
320,38.676471,-77.219493
321,38.676313,-77.218311
322,38.676410,-77.216678
323,38.676413,-77.215205
324,38.676183,-77.213855
325,38.676020,-77.212652
326,38.676452,-77.210983
327,38.676384,-77.209602
328,38.675957,-77.208046
329,38.675946,-77.206894
330,38.676236,-77.205380
331,38.676482,-77.204061
332,38.676351,-77.202357
333,38.676366,-77.201149
334,38.676213,-77.199595
335,38.676168,-77.197936
336,38.676480,-77.196827
337,38.676269,-77.195228
338,38.676337,-77.193610
339,38.676034,-77.192604
340,38.676292,-77.191209
341,38.676014,-77.189831
342,38.675917,-77.188191
343,38.676254,-77.186856
344,38.676047,-77.185194
345,38.676316,-77.183913
346,38.676307,-77.182219
347,38.676364,-77.180964
348,38.676292,-77.179363
349,38.676158,-77.178159
350,38.676284,-77.176526
351,38.676386,-77.175578
352,38.676010,-77.174018
353,38.676342,-77.172443
354,38.676080,-77.171271
355,38.676308,-77.169518
356,38.676453,-77.168206
357,38.676197,-77.167020
358,38.675938,-77.165394
359,38.676099,-77.164072
360,38.675967,-77.162241
361,38.676392,-77.161036
362,38.676457,-77.159368
363,38.676298,-77.158359
364,38.675938,-77.156656
365,38.676183,-77.155291
366,38.676437,-77.154133
367,38.676249,-77.152449
368,38.676196,-77.151334
369,38.676114,-77.149770
370,38.676297,-77.148046
371,38.676103,-77.146714
372,38.676079,-77.145145
373,38.676379,-77.143945
374,38.676174,-77.142653
375,38.676099,-77.140854
376,38.676146,-77.139688
377,38.676479,-77.138181
378,38.676225,-77.136895
379,38.676022,-77.135499
380,38.676346,-77.133923
381,38.676348,-77.132738
382,38.676228,-77.130900
383,38.676165,-77.129605
384,38.675984,-77.128023
385,38.676262,-77.127016
386,38.676005,-77.125413
387,38.676230,-77.124248
388,38.676481,-77.122355
389,38.676178,-77.121384
390,38.676390,-77.119741
391,38.676324,-77.118309
392,38.676071,-77.116698
393,38.676474,-77.115610
394,38.676229,-77.114104
395,38.676441,-77.112608
396,38.676417,-77.110980
397,38.676073,-77.109596
398,38.676152,-77.108089
399,38.676205,-77.106728
400,38.676076,-77.105600
401,38.676250,-77.103775
402,38.676194,-77.102835
403,38.676222,-77.101297
404,38.676230,-77.099759
405,38.676175,-77.098459
406,38.676023,-77.096820
407,38.676241,-77.095659
408,38.676357,-77.094342
409,38.676340,-77.092539
410,38.676378,-77.091295
411,38.676294,-77.089622
412,38.676474,-77.088382
413,38.675936,-77.086953
414,38.676252,-77.085318
415,38.676414,-77.084137
416,38.676215,-77.082702
417,38.676327,-77.081303
418,38.676289,-77.080024
419,38.676183,-77.078134
420,38.676108,-77.076866
421,38.676286,-77.075350
422,38.676401,-77.073920
423,38.676132,-77.072804
424,38.676325,-77.071126
425,38.676413,-77.070113
426,38.675954,-77.068348
427,38.676440,-77.066714
428,38.676341,-77.065610
429,38.675971,-77.064070
430,38.676413,-77.062753
431,38.676311,-77.061065
432,38.675941,-77.059701
433,38.676082,-77.058516
434,38.675998,-77.057001
435,38.676238,-77.055427
436,38.676012,-77.054408
437,38.676412,-77.052674
438,38.676052,-77.051082
439,38.675997,-77.049914
